,carbon_content,city_station,clay_content,dem,dryness,landform_type,night_lights,population_density,pre,sand_content,slope,soil_bulk_density,soil_pH,tmp,water_content
carbon_content,,0.594766635,0.599604633,0.801531317,0.637639083,0.778023683,0.590109315,0.634917505,0.629764973,0.605373273,0.761127607,0.623214579,0.693386623,0.735910413,0.63105224
city_station,,,0.479625856,0.46988057,0.068642065,0.344727987,0.018656632,0.245247286,0.092738198,0.486239169,0.229950778,0.532603605,0.258115272,0.158907453,0.487292635
clay_content,,,,0.667367575,0.489108157,0.582124187,0.481855458,0.533609625,0.498162031,0.481587854,0.55453062,0.566118359,0.500789732,0.526201523,0.48406363
dem,,,,,0.50363002,0.485530616,0.498627173,0.727718116,0.501556542,0.77039138,0.462585629,0.794228768,0.676240005,0.533463739,0.728319296
dryness,,,,,,0.306961375,0.031993999,0.276220307,0.249011455,0.504465968,0.207371615,0.560994811,0.295963965,0.203157856,0.499460253
landform_type,,,,,,,0.355482698,0.702616811,0.39750921,0.663801533,0.304104893,0.761480081,0.584327453,0.45854073,0.656157438
night_lights,,,,,,,,0.181143711,0.062124588,0.486751627,0.232535186,0.532554414,0.214190764,0.127470409,0.485966559
population_density,,,,,,,,,0.300395513,0.534965303,0.648539331,0.568550322,0.373382103,0.464455714,0.532646755
pre,,,,,,,,,,0.518353321,0.298652345,0.56483206,0.339354398,0.200247236,0.505093619
sand_content,,,,,,,,,,,0.624278637,0.566599247,0.562746905,0.561125779,0.493972341
slope,,,,,,,,,,,,0.740790315,0.525431618,0.332917727,0.628427128
soil_bulk_density,,,,,,,,,,,,,0.641953128,0.662407718,0.569271733
soil_pH,,,,,,,,,,,,,,0.386555784,0.56280657
tmp,,,,,,,,,,,,,,,0.556398457
water_content,,,,,,,,,,,,,,,
