2001,2010,2022
II,III,III
II,IV,III
II,III,III
II,II,II
II,III,III
III,III,III
III,IV,III
II,III,II
II,III,III
I,III,II
I,II,II
II,III,II
II,II,II
II,IV,IV
II,IV,IV
II,IV,III
I,II,II
I,III,II
I,II,II
I,II,II
II,III,II
II,II,II
II,IV,IV
II,IV,III
II,III,II
III,IV,II
II,III,II
I,II,II
I,II,II
II,III,II
II,III,II
II,II,II
II,IV,IV
I,III,II
II,II,II
I,III,II
II,II,II
II,II,II
II,III,II
II,III,II
II,III,II
II,IV,III
II,III,II
II,II,II
I,II,II
II,IV,IV
II,III,III
II,II,I
II,II,I
II,II,II
II,II,II
II,II,II
II,III,II
I,III,II
III,II,II
II,III,II
II,IV,III
II,III,III
I,II,II
I,II,II
II,II,I
II,II,I
II,II,I
II,III,II
II,III,II
II,II,II
II,II,II
II,III,II
III,II,II
II,II,II
II,III,II
II,IV,IV
II,III,II
II,III,II
III,II,II
III,II,I
III,II,I
III,III,II
III,III,II
II,III,III
II,III,II
I,III,II
III,II,III
III,III,II
II,III,I
II,IV,IV
II,III,III
II,III,III
II,IV,IV
II,III,III
III,III,II
III,IV,II
I,IV,II
II,II,I
III,III,II
III,IV,II
III,IV,III
II,III,II
II,III,III
II,III,III
II,IV,III
II,III,II
I,III,II
II,III,II
II,II,II
II,II,I
II,III,III
III,III,II
III,III,II
II,IV,III
III,IV,II
III,III,I
III,IV,III
II,IV,III
IV,III,II
II,II,I
I,IV,III
I,III,I
I,V,IV
II,IV,IV
I,II,II
I,II,II
I,II,II
II,II,II
II,II,I
III,II,II
IV,III,II
IV,III,III
II,IV,III
III,IV,IV
II,IV,III
I,III,I
II,IV,II
IV,III,I
II,I,I
V,II,I
II,IV,II
V,II,I
V,V,IV
V,II,I
I,V,V
II,V,V
I,V,V
II,V,IV
II,II,III
I,III,II
I,III,II
I,III,II
I,III,II
II,II,II
IV,II,II
IV,III,II
II,III,II
II,IV,III
III,IV,IV
IV,IV,IV
IV,III,II
II,II,I
III,III,II
IV,IV,IV
IV,IV,III
III,II,I
IV,III,II
V,IV,III
III,IV,III
II,III,II
II,IV,IV
IV,V,IV
III,III,II
III,II,I
II,II,I
II,IV,II
II,V,IV
II,IV,IV
II,III,III
I,III,II
I,III,II
I,III,II
I,II,II
II,III,III
II,II,II
III,III,II
III,III,II
III,IV,III
II,IV,III
II,IV,III
III,IV,III
III,IV,III
II,II,I
II,III,II
III,III,II
II,III,II
II,II,I
III,II,II
III,III,II
III,II,I
III,II,I
III,III,III
II,III,III
III,IV,III
III,III,II
I,III,II
I,II,I
II,III,II
II,III,II
II,III,III
II,III,III
II,IV,IV
I,III,II
I,III,II
II,II,II
I,III,II
I,III,II
II,III,II
III,III,II
III,III,II
II,III,II
IV,III,III
II,IV,III
III,III,III
I,III,II
III,IV,IV
III,III,II
III,III,II
II,I,I
I,III,II
I,III,II
IV,III,II
IV,II,I
II,I,I
III,II,I
I,IV,IV
III,IV,IV
I,II,II
III,III,III
II,I,I
II,III,II
II,I,I
II,III,II
II,II,I
II,II,I
II,III,IV
I,III,IV
II,III,IV
II,III,III
II,III,IV
II,II,II
II,II,II
II,III,II
II,III,II
III,III,II
II,III,II
II,III,III
II,III,III
III,III,III
II,III,III
II,III,II
I,III,II
I,III,II
I,II,I
I,II,I
I,II,I
II,I,I
IV,I,I
I,I,I
II,I,I
I,II,I
I,IV,IV
I,II,I
III,II,I
II,I,I
III,II,I
II,II,I
I,III,I
II,II,I
II,III,I
II,II,I
II,I,I
II,III,IV
II,III,IV
I,III,III
III,II,III
II,III,III
II,III,II
II,III,II
II,III,II
II,III,II
II,III,II
II,II,III
II,III,III
II,III,II
I,III,III
III,III,II
III,III,II
II,II,I
II,II,I
I,III,II
I,IV,III
I,II,I
I,II,I
III,I,I
I,I,I
III,I,I
II,I,I
II,IV,III
I,I,I
II,III,II
III,II,I
II,II,I
I,II,I
I,III,I
III,III,II
II,II,I
III,I,I
I,II,I
II,III,IV
I,III,III
II,III,III
I,II,II
II,II,II
I,II,II
I,II,II
II,II,II
II,III,II
II,II,II
III,II,II
II,III,II
III,III,III
III,III,III
I,III,III
II,III,III
II,II,I
II,II,II
III,III,II
I,II,I
II,II,I
I,II,I
II,II,I
IV,I,I
II,III,III
IV,IV,IV
III,II,I
III,IV,III
III,III,II
III,III,II
II,III,II
I,III,II
I,II,I
I,I,I
II,I,I
II,I,I
II,II,I
II,III,III
I,IV,IV
I,III,II
I,II,I
II,II,I
II,II,I
II,III,III
II,III,III
II,III,III
I,III,II
I,III,II
III,III,II
II,II,II
III,II,I
I,III,II
II,II,II
II,III,II
III,II,II
II,III,II
II,II,II
I,III,II
II,III,I
I,II,I
III,I,I
III,III,I
III,III,I
III,III,III
I,III,III
I,III,II
II,I,I
I,I,I
I,II,I
I,II,I
I,II,I
I,I,I
II,II,I
II,II,I
III,II,I
II,II,I
II,IV,IV
II,IV,IV
I,IV,IV
I,III,III
II,II,II
II,II,I
